university,program,name,credits,mode
The University of Melbourne,Master of Computer Science,Foundational Computer Science Subjects,,
The University of Melbourne,Master of Computer Science,Elective Subjects,,
The University of Melbourne,Master of Computer Science,Compulsory Research Project,6.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Informatics Research Review,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,MSc Dissertation (Informatics),6.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Data-driven Business and Behaviour Analytics,20.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Introductory Applied Machine Learning (Semester 2),20.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Research Methods in Financial Computing,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Digital Business: Competing in the Age of Platforms,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Digital Business: Transforming Organisations in the Digital Era,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Technology Entrepreneurship and Commercialisation,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Digital Innovation Management,20.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Numerical Algorithms for High Performance Computing,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Design and Analysis of Parallel Algorithms,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Algorithmic Game Theory and its Applications,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Blockchains and Distributed Ledgers,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Text Technologies for Data Science,20.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Case Studies in AI Ethics (CSAI),10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Machine Learning Systems,20.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Financial Mathematics,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Fundamentals of Optimization,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Large Scale Optimization for Data Science,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Credit Scoring,10.0,
The University of Edinburgh,Advanced Technology for Financial Computing,Discrete-Time Finance,10.0,
The University of Edinburgh,Computer Science MSc,Computer Science MSc,,Full-time
The University of Edinburgh,Computer Science MSc,Computer Science MSc,,Part-time
The University of Edinburgh,Computer Science MSc,Computer Science MSc,,
The University of Edinburgh,Data Science MSc,Data Science MSc,,Full-time
The University of Edinburgh,Data Science MSc,Data Science MSc,,Part-time
University of Minnesota,Computer Science M.C.S.,Computer Science M.C.S.,,
University of Minnesota,Computer Science M.S,Computer Science M.S.,,
Heidelberg University,Computer Science,Computer Science,,
The University of Manchester,MSc Advanced Computer Science,Masters Project,6.0,
The University of Manchester,MSc Advanced Computer Science,Introduction to Cryptography,15.0,
The University of Manchester,MSc Advanced Computer Science,Network Security,15.0,
The University of Manchester,MSc Advanced Computer Science,Secure Computer Architecture and Systems,15.0,
The University of Manchester,MSc Advanced Computer Science,Security and Privacy in Artificial Intelligence,15.0,
The University of Manchester,MSc Advanced Computer Science,Data Engineering Concepts,15.0,
The University of Manchester,MSc Advanced Computer Science,Software Security,15.0,
The University of Manchester,MSc Advanced Computer Science,Data Engineering Technologies,15.0,
The University of Manchester,MSc Advanced Computer Science,Reasoning and Learning under Uncertainty,15.0,
The University of Manchester,MSc Advanced Computer Science,Reinforcement Learning,15.0,
The University of Manchester,MSc Advanced Computer Science,Cognitive Robotics and Computer Vision,15.0,
The University of Manchester,MSc Advanced Computer Science,Logics for Knowledge Representation and Reasoning,15.0,
The University of Manchester,MSc Advanced Computer Science,Topics in Machine Learning,15.0,
The University of Manchester,MSc Advanced Computer Science,Advanced Topics in Knowledge Representation and Reasoning,15.0,
The University of Manchester,MSc Advanced Computer Science,Transforming Text Into Meaning,15.0,
The University of Manchester,MSc Advanced Computer Science,Advanced Topics in Machine Learning,15.0,
The University of Manchester,MSc Artificial Intelligence,Master's Project,6.0,
The University of Manchester,MSc Artificial Intelligence,Logics for Knowledge Representation and Reasoning,15.0,
The University of Manchester,MSc Artificial Intelligence,Advanced Topics in Knowledge Representation and Reasoning,15.0,
The University of Manchester,MSc Artificial Intelligence,Cognitive Robotics and Computer Vision,15.0,
The University of Manchester,MSc Artificial Intelligence,Transforming Text into Meaning,15.0,
The University of Manchester,MSc Artificial Intelligence,Topics in Machine Learning,15.0,
The University of Manchester,MSc Artificial Intelligence,Advanced Topics in Machine Learning,15.0,
The University of Manchester,MSc Artificial Intelligence,Introduction to Cryptography,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Network Security,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Secure Computer Architecture and Systems,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Security and Privacy in Artificial Intelligence,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Formal Methods for Software Verification,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Data Engineering Concepts,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Software Security,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Data Engineering Technologies,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Reasoning and Learning under Uncertainty,15.0,Optional
The University of Manchester,MSc Artificial Intelligence,Reinforcement Learning,15.0,Optional
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Statistics and Machine Learning 1: Statistical Foundations,15.0,
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Understanding Databases,15.0,
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Understanding Data and their Environment,15.0,
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Extended Research Project,6.0,
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Data Engineering Concepts,15.0,Optional
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Data Engineering Technologies,15.0,Optional
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Reinforcement Learning,15.0,Optional
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Cognitive Robotics and Computer Vision,15.0,Optional
The University of Manchester,MSc Data Science (Computer Science Data Informatics),Transforming Text Into Meaning,15.0,Optional
University of Geneva,Le Master en sciences informatiques,Le Master en sciences informatiques,6.0,
University of Geneva,Le Master en sciences informatiques,Mémoire,6.0,
University of Geneva,Le Master en sciences informatiques,Mémoire,30.0,
University of Geneva,Le Master en sciences informatiques,Mémoire,6.0,
University of Geneva,Le Master en sciences informatiques,Mémoire,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en biologie,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en physique,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en sciences de la Terre,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en pharmacie,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en sciences informatiques,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en biologie chimique,6.0,
University of Geneva,Le Master en sciences informatiques,Master en archéologie préhistorique,6.0,
University of Geneva,Le Master en sciences informatiques,Master en chimie,6.0,
University of Geneva,Le Master en sciences informatiques,Le Master en biochimie,6.0,ECTS
University of Geneva,Le Master en sciences informatiques,Le Master en sciences de l'environnement (MUSE),6.0,ECTS
University of Geneva,Le Master en sciences informatiques,Le Master en neurosciences,6.0,
Vanderbilt University,Computer Science,CS 5253: Parallel Functional Programming,3.0,
Vanderbilt University,Computer Science,CS 5254: Concurrent Object-Oriented Programming,3.0,
Vanderbilt University,Computer Science,CS 5260: Artificial Intelligence,3.0,
Vanderbilt University,Computer Science,CS 5262: Foundations of Machine Learning,3.0,
Vanderbilt University,Computer Science,CS 5278: Principles of Software Engineering,3.0,
Vanderbilt University,Computer Science,CS 5279: Software Engineering Projects,3.0,
Vanderbilt University,Computer Science,CS 5283: Computer Networks,3.0,
Vanderbilt University,Computer Science,CS 5287: Principles of Cloud Computing,3.0,
Vanderbilt University,Computer Science,CS 5288: Web-Based System Architecture,3.0,
Vanderbilt University,Computer Science,CS 6315: Automated Verification,3.0,
Vanderbilt University,Computer Science,CS 6381: Distributed Systems Principles,3.0,
Vanderbilt University,Computer Science,CS 6385: Advanced Software Engineering,3.0,
Vanderbilt University,Computer Science,CS 6387: Topics In Software Engineering: Security,3.0,
Vanderbilt University,Computer Science,CS 6388: Model-Integrated Computing,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Digital Forensics,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Microservices,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Quantum Computing,3.0,
Vanderbilt University,Computer Science,CS 5278: Principles of Software Engineering,3.0,Standard Track
Vanderbilt University,Computer Science,CS 5254: Concurrent Object-Oriented Programming,3.0,Standard Track
Vanderbilt University,Computer Science,CS 6387: Topics in Software Engineering: Security,3.0,Standard Track
Vanderbilt University,Computer Science,CS 5283: Computer Networks,3.0,Standard Track
Vanderbilt University,Computer Science,CS 5253: Parallel Functional Programming,3.0,Standard Track
Vanderbilt University,Computer Science,CS 5288: Web-Based System Architecture,3.0,Standard Track
Vanderbilt University,Computer Science,CS 6381: Distributed Systems Principles,3.0,Standard Track
Vanderbilt University,Computer Science,CS 6385: Advanced Software Engineering,3.0,Standard Track
Vanderbilt University,Computer Science,CS 6388: Model-Integrated Computing,3.0,Standard Track
Vanderbilt University,Computer Science,CS 5260: Artificial Intelligence,3.0,
Vanderbilt University,Computer Science,CS 5262: Foundations of Machine Learning,3.0,
Vanderbilt University,Computer Science,CS 5279: Software Engineering Projects,3.0,
Vanderbilt University,Computer Science,CS 6315: Automated Verification,3.0,
Vanderbilt University,Computer Science,CS 6381: Distributed Systems Principles,3.0,
Vanderbilt University,Computer Science,CS 6385: Advanced Software Engineering,3.0,
Vanderbilt University,Computer Science,CS 6387: Topics in Software Engineering: Security,3.0,
Vanderbilt University,Computer Science,CS 6388: Model-Integrated Computing,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Digital Forensics,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Microservices,3.0,
Vanderbilt University,Computer Science,CS 8395: Special Topics: Quantum Computing,3.0,
Vanderbilt University,Computer Science,Model-Integrated Computing,3.0,
Vanderbilt University,Computer Science,Principles of Cloud Computing,3.0,
Vanderbilt University,Computer Science,Principles of Software Engineering,3.0,
Vanderbilt University,Computer Science,Concurrent Object-Oriented Programming,3.0,
Vanderbilt University,Computer Science,Topics in Software Engineering: Security,3.0,
Vanderbilt University,Computer Science,Computer Networks,3.0,
Vanderbilt University,Computer Science,Parallel Functional Programming,3.0,
Vanderbilt University,Computer Science,Web-Based System Architecture,3.0,
Vanderbilt University,Computer Science,Distributed Systems Principles,3.0,
Vanderbilt University,Computer Science,Advanced Software Engineering,3.0,
National University of Singapore,Master of Computing,Cryptography Theory and Practice,,
National University of Singapore,Master of Computing,Computer Security Practice,,
National University of Singapore,Master of Computing,Legal Aspects of Information Security,,
National University of Singapore,Master of Computing,Information Security Management,,
National University of Singapore,Master of Computing,Strategic Cybersecurity,,
National University of Singapore,Master of Computing,Blockchain and Distributed Ledger Technologies,,
National University of Singapore,Master of Computing,Principles and Practice of Program Analysis,,
National University of Singapore,Master of Computing,Automated Software Validation,,
National University of Singapore,Master of Computing,Systems Security,,
National University of Singapore,Master of Computing,Network Security,,
National University of Singapore,Master of Computing,Database Security,,
National University of Singapore,Master of Computing,Web Security,,
National University of Singapore,Master of Computing,Biometric Authentication,,
National University of Singapore,Master of Computing,Software Security,,
National University of Singapore,Master of Computing,IoT Security,,
National University of Singapore,Master of Computing,Topics in Information Security,,
National University of Singapore,Master of Computing,Advanced Topics in Security and Privacy,,
National University of Singapore,Master of Computing,Technology Risk and Cyber Resilience,,
National University of Singapore,Master of Computing,Information Security Policy and Management,,
McGill University,Computer Science (M.Sc.),COMP 602,1.0,
McGill University,Computer Science (M.Sc.),COMP 603,1.0,
McGill University,Computer Science (M.Sc.),COMP 514,,
McGill University,Computer Science (M.Sc.),COMP 549,,
McGill University,Computer Science (M.Sc.),COMP 550,,
McGill University,Computer Science (M.Sc.),COMP 551,,
McGill University,Computer Science (M.Sc.),COMP 558,,
McGill University,Computer Science (M.Sc.),COMP 562,,
McGill University,Computer Science (M.Sc.),COMP 565,,
McGill University,Computer Science (M.Sc.),COMP 579,,
McGill University,Computer Science (M.Sc.),COMP 585 - Intelligent Software Systems,,
McGill University,Computer Science (M.Sc.),COMP 588 - Probabilistic Graphical Models,,
McGill University,Computer Science (M.Sc.),COMP 597 - Automated Reasoning with Machine Learning,,
McGill University,Computer Science (M.Sc.),COMP 597 - Applications of Machine Learning in Real World Systems,,
McGill University,Computer Science (M.Sc.),COMP 598 - Machine Learning for Biomedical Data,,
McGill University,Computer Science (M.Sc.),COMP 599 - Network Science,,
McGill University,Computer Science (M.Sc.),COMP 599 - Natural Language Understanding with Deep Learning,,
McGill University,Computer Science (M.Sc.),COMP 611 - Mathematical Tools for Computer Science.,,
McGill University,Computer Science (M.Sc.),COMP 766 - Learning and Optimization for Robot Control,,
McGill University,Computer Science (M.Sc.),COMP 767 - Machine Learning Applied to Climate Change,,
McGill University,Computer Science (M.Sc.),COMP 512 - Distributed Systems,,
McGill University,Computer Science (M.Sc.),COMP 520 - Compiler Design.,,
McGill University,Computer Science (M.Sc.),COMP 521 – Modern Computer Games,,
McGill University,Computer Science (M.Sc.),COMP 523 - Language-based Security.,,
McGill University,Computer Science (M.Sc.),COMP 525 - Formal Verification,,
McGill University,Computer Science (M.Sc.),COMP 529 - Software Architecture.,,
McGill University,Computer Science (M.Sc.),COMP 533 - Model-Driven Software Development.,,
McGill University,Computer Science (M.Sc.),COMP 535 - Computer Networks,,
McGill University,Computer Science (M.Sc.),COMP 547 - Cryptography and Data Security,,
McGill University,Computer Science (M.Sc.),COMP 555 - Software Privacy,,
McGill University,Computer Science (M.Sc.),COMP 585 - Intelligent Software Systems,,
McGill University,Computer Science (M.Sc.),COMP 596 - Principles of Computer Systems,,
McGill University,Computer Science (M.Sc.),COMP 599 - Software Engineering for Building Intelligent Systems,,
McGill University,Computer Science (M.Sc.),COMP 599 - Topics in Mobile Application Development,,
McGill University,Computer Science (M.Sc.),COMP 614 - Distributed Data Management,,
McGill University,Computer Science (M.Sc.),COMP 667 - Software Fault Tolerance,,
McGill University,Computer Science (M.Sc.),COMP 764 - Advanced Topics Systems,,
University of California  Irvine,Computer Science,COMPSCI 200S,,
University of California  Irvine,Computer Science,COMPSCI 260,,
University of California  Irvine,Computer Science,COMPSCI 261,,
University of California  Irvine,Computer Science,COMPSCI 263,,
University of California  Irvine,Computer Science,COMPSCI 250A,,
University of California  Irvine,Computer Science,COMPSCI 244,,
University of California  Irvine,Computer Science,COMPSCI 205,,
University of California  Irvine,Computer Science,COMPSCI 241,,
University of California  Irvine,Computer Science,COMPSCI 230,,
University of California  Irvine,Computer Science,COMPSCI 271,,
University of California  Irvine,Computer Science,COMPSCI 273A,,
University of California  Irvine,Computer Science,COMPSCI 232,,
University of California  Irvine,Computer Science,COMPSCI 203,,
University of California  Irvine,Computer Science,COMPSCI 222,,
University of California  Irvine,Computer Science,COMPSCI 223,,
University of California  Irvine,Computer Science,COMPSCI 206,,
University of California  Irvine,Computer Science,COMPSCI 211A,,
University of California  Irvine,Computer Science,COMPSCI 290,,
University of California  Irvine,Computer Science,COMPSCI 296,,
University of California  Irvine,Computer Science,COMPSCI 298,,
University of California  Irvine,Computer Science,COMPSCI 299,,
University of California  Irvine,Computer Science,COMPSCI 111,,
University of California  Irvine,Computer Science,COMPSCI 112,,
University of California  Irvine,Computer Science,COMPSCI 122A,,
University of California  Irvine,Computer Science,COMPSCI 132,,
University of California  Irvine,Computer Science,COMPSCI 142A,,
University of California  Irvine,Computer Science,COMPSCI 143A,,
University of California  Irvine,Computer Science,COMPSCI 152,,
University of California  Irvine,Computer Science,COMPSCI 161,,
University of California  Irvine,Computer Science,COMPSCI 171,,
University of California  Irvine,Computer Science,COMPSCI 177,,
University of California  Irvine,Computer Science,COMPSCI 178,,
University of California  Irvine,Computer Science,I&C SCI 161,,
University of California  Irvine,Computer Science,I&C SCI 162,,
University of California  Irvine,Computer Science,I&C SCI 163,,
University of California  Irvine,Computer Science,I&C SCI 166,,
University of California  Irvine,Informatics,IN4MATX 261,,
University of California  Irvine,Informatics,IN4MATX 232,,
University of California  Irvine,Informatics,IN4MATX 209S,,
University of California  Irvine,Informatics,IN4MATX 201,,
University of California  Irvine,Informatics,IN4MATX 203,,
University of California  Irvine,Informatics,IN4MATX 205,,
University of California  Irvine,Informatics,IN4MATX 298,,
University of California  Irvine,Informatics,IN4MATX 299,,
The University of New South Wales,Master of Information Technology,Master of Information Technology,6.0,
Monash University,Computer Science - Expert master's degree,Master of Computer Science,,Accelerated 100% Online
Monash University,Computer Science - Expert master's degree,Architecture and networks,,
Monash University,Computer Science - Expert master's degree,Introduction to databases,,
Monash University,Computer Science - Expert master's degree,Foundations of computing,,
Monash University,Computer Science - Expert master's degree,Java programming,,
Monash University,Computer Science - Expert master's degree,Introduction to Python,,
Monash University,Computer Science - Expert master's degree,Fundamentals of artificial intelligence,,
Monash University,Computer Science - Expert master's degree,Software engineering,,
Monash University,Computer Science - Expert master's degree,Information and computer security,,
Monash University,Computer Science - Expert master's degree,Web applications development,,
Monash University,Computer Science - Expert master's degree,Mobile and distributed computing systems,,
Monash University,Computer Science - Expert master's degree,User interface design and usability,,
Monash University,Computer Science - Expert master's degree,Software and network security,,
Monash University,Computer Science - Expert master's degree,Cyber operations,,
Monash University,Computer Science - Expert master's degree,Blockchain,,
Uppsala University,Master's Programme in Computational Science,Master's Programme in Computational Science,6.0,
Uppsala University,Master's Programme in Computational Science,Advanced Numerical Methods,10.0,
Uppsala University,Master's Programme in Computational Science,Computational Finance: Pricing and Valuation,5.0,
Uppsala University,Master's Programme in Computational Science,Accelerator-Based Programming,5.0,
Uppsala University,Master's Programme in Computational Science,Statistical Thermodynamics: Theory and Simulation Methods,5.0,
Uppsala University,Master's Programme in Computational Science,Data Mining I,5.0,
Uppsala University,Master's Programme in Computational Science,Energy Physics I,5.0,
Uppsala University,Master's Programme in Computational Science,Microeconomic Theory,7.0,
Uppsala University,Master's Programme in Computational Science,Electromagnetic Field Theory,5.0,
Uppsala University,Master's Programme in Computational Science,Applied Mathematics,5.0,
Uppsala University,Master's Programme in Computational Science,Database Design I,5.0,
Uppsala University,Master's Programme in Computational Science,Artificial Intelligence,5.0,
Uppsala University,Master's Programme in Computational Science,Fluid Mechanics,5.0,
Uppsala University,Master's Programme in Computational Science,Project in Computational Science,15.0,
Uppsala University,Master's Programme in Computational Science,Computer-Intensive Statistics and Applications,10.0,
Uppsala University,Master's Programme in Computational Science,Statistical Thermodynamics: Theory and Simulation Methods,5.0,
Uppsala University,Master's Programme in Computational Science,Macroeconomic Theory,7.0,
Uppsala University,Master's Programme in Computational Science,Optimisation,5.0,
Uppsala University,Master's Programme in Computational Science,Applied Finite Element Methods,5.0,
Uppsala University,Master's Programme in Computational Science,Scientific Visualisation,5.0,
Uppsala University,Master's Programme in Computational Science,Scientific Computing for Partial Differential Equations,5.0,
Uppsala University,Master's Programme in Computational Science,Database Design II,5.0,
Uppsala University,Master's Programme in Computational Science,Computer-Assisted Image Analysis I,5.0,
Uppsala University,Master's Programme in Computational Science,Software Testing,5.0,
Uppsala University,Master's Programme in Computational Science,Chemical Bonding and Computational Chemistry,10.0,
Uppsala University,Master's Programme in Computational Science,Degree Project E in Computational Science,15.0,
Uppsala University,Master's Programme in Computational Science,High Performance Programming,10.0,
Uppsala University,Master's Programme in Computational Science,Computational Physics,5.0,
Uppsala University,Master's Programme in Computational Science,Data Engineering I,5.0,
Uppsala University,Master's Programme in Computational Science,Markov Processes,10.0,
Uppsala University,Master's Programme in Computational Science,Natural Computation Methods for Machine Learning,5.0,
Uppsala University,Master's Programme in Computational Science,Introduction to Partial Differential Equations,5.0,
Uppsala University,Master's Programme in Computational Science,Computer Graphics,10.0,
Uppsala University,Master's Programme in Computational Science,Degree Project E in Computational Science,15.0,
Uppsala University,Master's Programme in Computational Science,Advanced Course on Topics in Scientific Computing I,5.0,
Uppsala University,Master's Programme in Computational Science,Advanced Course on Topics in Scientific Computing II,10.0,
Uppsala University,Master's Programme in Computational Science,Parallel and Distributed Programming,5.0,
Uppsala University,Master's Programme in Computational Science,Numerical Modelling of the Atmosphere,10.0,
Uppsala University,Master's Programme in Computational Science,Modelling Complex Systems,10.0,
Uppsala University,Master's Programme in Computational Science,Data Engineering II,10.0,
Uppsala University,Master's Programme in Computational Science,Computer Graphics,10.0,
Uppsala University,Master's Programme in Computational Science,Analysis of Time Series,10.0,
Uppsala University,Master's Programme in Computational Science,Natural Computation Methods for Machine Learning,5.0,
Ghent University,Master of Computer Science Engineering,Master of Science in Computer Science Engineering,6.0,
Ghent University,Master of Computer Science Engineering,Parallel Computer Systems,6.0,
Ghent University,Master of Computer Science Engineering,Parallel and Distributed Software Systems,6.0,
Ghent University,Master of Computer Science Engineering,Design of Multimedia Applications,6.0,
Ghent University,Master of Computer Science Engineering,Research Project,3.0,
Ghent University,Master of Computer Science Engineering,Design Project,9.0,
Ghent University,Master of Computer Science Engineering,Mobile and Broadband Access Networks,6.0,
Ghent University,Master of Computer Science Engineering,Information Theory,6.0,
Ghent University,Master of Computer Science Engineering,Queueing Analysis and Simulation,6.0,
Ghent University,Master of Computer Science Engineering,Machine Learning,6.0,
Ghent University,Master of Computer Science Engineering,Information Security,6.0,
Ghent University,Master of Computer Science Engineering,Reinforcement Learning,6.0,
Ghent University,Master of Computer Science Engineering,Natural Language Processing,6.0,
Ghent University,Master of Computer Science Engineering,Recommender Systems,6.0,
Ghent University,Master of Computer Science Engineering,Deep Generative Models,4.0,
Ghent University,Master of Computer Science Engineering,Probabilistic Graphical Models,4.0,
Ghent University,Master of Computer Science Engineering,Computer Vision: Theory and Applications,6.0,
Ghent University,Master of Computer Science Engineering,Robotics,6.0,
Ghent University,Master of Computer Science Engineering,AI Research Seminar,3.0,
Ghent University,Master of Computer Science Engineering,Data Visualization for and with AI,3.0,
Ghent University,Master of Computer Science Engineering,Big Data Technology,4.0,
Ghent University,Master of Computer Science Engineering,Data Quality,3.0,
Ghent University,Master of Computer Science Engineering,Game Theory and Multiagent Systems,6.0,
Ghent University,Master of Computer Science Engineering,Cognitive and Brain-Inspired Artificial Intelligence,3.0,
Ghent University,Master of Computer Science Engineering,Speech Processing,4.0,
Ghent University,Master of Computer Science Engineering,Database Design,4.0,
Ghent University,Master of Computer Science Engineering,Big Data Technology,4.0,
Ghent University,Master of Computer Science Engineering,Cloud Storage and Computing,4.0,
Ghent University,Master of Computer Science Engineering,Big Data Algorithms,3.0,
Ghent University,Master of Computer Science Engineering,Data Quality,3.0,
Ghent University,Master of Computer Science Engineering,NoSQL Databases,3.0,
Ghent University,Master of Computer Science Engineering,Knowledge Graphs,3.0,
Ghent University,Master of Computer Science Engineering,Data Visualization for and with AI,3.0,
Ghent University,Master of Computer Science Engineering,Software Hacking and Protection,6.0,
Ghent University,Master of Computer Science Engineering,Secure Software and Systems,6.0,
Ghent University,Master of Computer Science Engineering,Network Hacking and Protection,6.0,
Ghent University,Master of Computer Science Engineering,Robotics,6.0,
Ghent University,Master of Computer Science Engineering,Internet of Things,6.0,
Ghent University,Master of Computer Science Engineering,Fundamentals of Statistical Sensor Processing,6.0,en
Ghent University,Master of Computer Science Engineering,Autonomous Vehicle Perception,3.0,en
Ghent University,Master of Computer Science Engineering,Intelligent Robot Manipulation,3.0,en
Ghent University,Master of Computer Science Engineering,Hardware-design Project,6.0,en
Ghent University,Master of Computer Science Engineering,Sensor Based Measurement Systems,3.0,en
Ghent University,Master of Computer Science Engineering,Game Theory and Multiagent Systems,6.0,en
Ghent University,Master of Computer Science Engineering,Embedded Machine Learning,3.0,en
Ghent University,Master of Computer Science Engineering,Design Methodology for FPGAs,6.0,en
Ghent University,Master of Computer Science Engineering,Manufacturing Planning and Control,6.0,en
Ghent University,Master of Computer Science Engineering,Operations Research Models and Methods,6.0,en
Ghent University,Master of Computer Science Engineering,Quality Engineering and Industrial Statistics,6.0,en
Ghent University,Master of Computer Science Engineering,Engineering Economy,6.0,en
Ghent University,Master of Computer Science Engineering,Modelling of Physiological Systems,5.0,en
Ghent University,Master of Computer Science Engineering,From Genome to Organism,3.0,en
Ghent University,Master of Computer Science Engineering,Quantitative Cell and Tissue Analysis,6.0,en
Ghent University,Master of Computer Science Engineering,Biomaterials and Tissue Engineering,5.0,en
Ghent University,Master of Computer Science Engineering,Biomechanics,6.0,en
Ghent University,Master of Computer Science Engineering,Medical Imaging,6.0,en
Ghent University,Master of Computer Science Engineering,Design Methodology for FPGAs,6.0,en
Ghent University,Master of Computer Science Engineering,Modulation and Detection,6.0,en
Ghent University,Master of Computer Science Engineering,Analog Electronics,6.0,nl
Ghent University,Master of Computer Science Engineering,Compilers,6.0,en
Ghent University,Master of Computer Science Engineering,Signal Processing,6.0,en
Ghent University,Master of Computer Science Engineering,Broadband cable-TV and in-home networks,4.0,
Ghent University,Master of Computer Science Engineering,Image Processing,6.0,nl
Ghent University,Master of Computer Science Engineering,Performance Analysis of Telecommunication Systems,4.0,en
Ghent University,Master of Computer Science Engineering,Fundaments of Programming Languages,6.0,nl
Ghent University,Master of Computer Science Engineering,Advanced Modulation and Coding,4.0,en
Ghent University,Master of Computer Science Engineering,Computer Graphics,6.0,en
Ghent University,Master of Computer Science Engineering,Network Modelling and Design,4.0,en
Ghent University,Master of Computer Science Engineering,Optimisation Techniques,6.0,en
Ghent University,Master of Computer Science Engineering,Discrete Algorithms,6.0,nl
Ghent University,Master of Computer Science Engineering,Computational Challenges in Bioinformatics,6.0,en
Ghent University,Master of Computer Science Engineering,Sustainable Computing,3.0,en
Ghent University,Master of Computer Science Engineering,Quantum Computing: Architecture and Algorithms,3.0,en
Ghent University,Master of Computer Science Engineering,Reinforcement Learning,6.0,en
Ghent University,Master of Computer Science Engineering,Natural Language Processing,6.0,en
Ghent University,Master of Computer Science Engineering,Recommender Systems,6.0,en
Ghent University,Master of Computer Science Engineering,Deep Generative Models,4.0,en
Ghent University,Master of Computer Science Engineering,Probabilistic Graphical Models,4.0,en
Ghent University,Master of Computer Science Engineering,Computer Vision: Theory and Applications,6.0,nl
Ghent University,Master of Computer Science Engineering,Robotics,6.0,en
Ghent University,Master of Computer Science Engineering,AI Research Seminar,3.0,en
Ghent University,Master of Computer Science Engineering,Data Visualization for and with AI,3.0,en
Ghent University,Master of Computer Science Engineering,Big Data Technology,4.0,en
Ghent University,Master of Computer Science Engineering,Data Quality,3.0,en
Ghent University,Master of Computer Science Engineering,Game Theory and Multiagent Systems,6.0,en
Ghent University,Master of Computer Science Engineering,Cognitive and Brain-Inspired Artificial Intelligence,3.0,en
Ghent University,Master of Computer Science Engineering,Speech Processing,4.0,en
Ghent University,Master of Computer Science Engineering,Database Design,4.0,nl
Ghent University,Master of Computer Science Engineering,Cloud Storage and Computing,4.0,en
Ghent University,Master of Computer Science Engineering,Big Data Algorithms,3.0,en
Ghent University,Master of Computer Science Engineering,NoSQL Databases,,
Ghent University,Master of Computer Science Engineering,Knowledge Graphs,3.0,
Ghent University,Master of Computer Science Engineering,Data Visualization for and with AI,3.0,
Ghent University,Master of Computer Science Engineering,Software Hacking and Protection,3.0,
Ghent University,Master of Computer Science Engineering,Secure Software and Systems,6.0,
Ghent University,Master of Computer Science Engineering,Network Hacking and Protection,6.0,
Ghent University,Master of Computer Science Engineering,Internet of Things,6.0,
Ghent University,Master of Computer Science Engineering,Fundamentals of Statistical Sensor Processing,6.0,
Ghent University,Master of Computer Science Engineering,Autonomous Vehicle Perception,3.0,
Ghent University,Master of Computer Science Engineering,Intelligent Robot Manipulation,3.0,
Ghent University,Master of Computer Science Engineering,Hardware-design Project,6.0,
